"","src_subject_id","eventname","reshist_addr1_adi_wsum","reshist_addr1_adi_perc"
"1","NDAR_INV005V6D2C","baseline_year_1_arm_1",97.75763,32
"2","NDAR_INV007W6H7B","baseline_year_1_arm_1",27.144264,2
"3","NDAR_INV00BD7VDC","baseline_year_1_arm_1",104.1378,45
"4","NDAR_INV00CY2MDM","baseline_year_1_arm_1",110.804726,66
"5","NDAR_INV00NPMHND","baseline_year_1_arm_1",92.81106,25
"6","NDAR_INV00R4TXET","baseline_year_1_arm_1",91.48801,23
"7","NDAR_INV00HEV6HB","baseline_year_1_arm_1",107.99982,56
"8","NDAR_INV00J52GPG","baseline_year_1_arm_1",100.717094,37
"9","NDAR_INV00LH735Y","baseline_year_1_arm_1",94.62372,27
"10","NDAR_INV00LJVZK2","baseline_year_1_arm_1",109.60787,62
"11","NDAR_INV00U4FTRU","baseline_year_1_arm_1",119.43963,96
"12","NDAR_INV00UMK5VC","baseline_year_1_arm_1",116.600746,88
"13","NDAR_INV0191C80U","baseline_year_1_arm_1",106.6232,52
"14","NDAR_INV019DXLU4","baseline_year_1_arm_1",101.00615,38
"15","NDAR_INV01AJ15N9","baseline_year_1_arm_1",89.07923,21
"16","NDAR_INV01D03VR7","baseline_year_1_arm_1",99.051285,34
"17","NDAR_INV01ELX9L6","baseline_year_1_arm_1",112.95481,74
"18","NDAR_INV01NAYMZH","baseline_year_1_arm_1",94.72296,27
"19","NDAR_INV01RGTWD2","baseline_year_1_arm_1",106.70629,52
"20","NDAR_INV01TXCDJN","baseline_year_1_arm_1",109.11298,60
"21","NDAR_INV01Z8HAPV","baseline_year_1_arm_1",81.73407,14
"22","NDAR_INV00X2TBWJ","baseline_year_1_arm_1",98.61647,34
"23","NDAR_INV010ZM3H9","baseline_year_1_arm_1",91.84104,24
"24","NDAR_INV014RTM1V","baseline_year_1_arm_1",96.58648,30
"25","NDAR_INV0182J779","baseline_year_1_arm_1",95.71953,29
"26","NDAR_INV028WCTG6","baseline_year_1_arm_1",106.30933,51
"27","NDAR_INV02EBX0JJ","baseline_year_1_arm_1",93.76426,26
"28","NDAR_INV02H7G2T6","baseline_year_1_arm_1",91.95342,24
"29","NDAR_INV02JXJUZG","baseline_year_1_arm_1",99.62856,35
"30","NDAR_INV02RCED7D","baseline_year_1_arm_1",93.70901,26
"31","NDAR_INV02UVMTY7","baseline_year_1_arm_1",71.480934,9
"32","NDAR_INV02WP3TP6","baseline_year_1_arm_1",115.49828,84
"33","NDAR_INV030W95VP","baseline_year_1_arm_1",104.24978,45
"34","NDAR_INV030X9ZNH","baseline_year_1_arm_1",105.2287,48
"35","NDAR_INV0314RN9P","baseline_year_1_arm_1",93.33592,26
"36","NDAR_INV021403LF","baseline_year_1_arm_1",98.846405,34
"37","NDAR_INV021N0FLH","baseline_year_1_arm_1",104.3575,45
"38","NDAR_INV022ZVCT8","baseline_year_1_arm_1",107.17214,54
"39","NDAR_INV028D3ELL","baseline_year_1_arm_1",89.942825,22
"40","NDAR_INV0387TP8R","baseline_year_1_arm_1",92.66264,25
"41","NDAR_INV03BDCNWM","baseline_year_1_arm_1",83.30336,16
"42","NDAR_INV03YU08FA","baseline_year_1_arm_1",77.02411,11
"43","NDAR_INV040B4TRC","baseline_year_1_arm_1",104.88785,47
"44","NDAR_INV042UJKFB","baseline_year_1_arm_1",91.07185,23
"45","NDAR_INV04BFG4JM","baseline_year_1_arm_1",93.712395,26
"46","NDAR_INV04CLBZAD","baseline_year_1_arm_1",118.71168,94
"47","NDAR_INV04EUBGTM","baseline_year_1_arm_1",113.77968,77
"48","NDAR_INV04GAB2AA","baseline_year_1_arm_1",11.556622,1
"49","NDAR_INV04JY6730","baseline_year_1_arm_1",117.380135,91
"50","NDAR_INV04P0G6LK","baseline_year_1_arm_1",99.23322,35
"51","NDAR_INV04R9REGF","baseline_year_1_arm_1",83.32109,16
"52","NDAR_INV04TRXUGL","baseline_year_1_arm_1",90.41776,22
"53","NDAR_INV03CV8RDT","baseline_year_1_arm_1",35.11862,2
"54","NDAR_INV03KMHMJJ","baseline_year_1_arm_1",102.29498,40
"55","NDAR_INV03NW0RKL","baseline_year_1_arm_1",94.10923,27
"56","NDAR_INV03XVEBPM","baseline_year_1_arm_1",2.4887125,1
"57","NDAR_INV05ATJ1V1","baseline_year_1_arm_1",113.09945,75
"58","NDAR_INV05CA3VX5","baseline_year_1_arm_1",101.55965,39
"59","NDAR_INV05LGG3GZ","baseline_year_1_arm_1",14.575877,1
"60","NDAR_INV05T64PXD","baseline_year_1_arm_1",93.712395,26
"61","NDAR_INV05WK8AN7","baseline_year_1_arm_1",113.88762,78
"62","NDAR_INV05X0LM1N","baseline_year_1_arm_1",96.456985,30
"63","NDAR_INV05YY477E","baseline_year_1_arm_1",112.80928,73
"64","NDAR_INV06A9DLE9","baseline_year_1_arm_1",117.2732,90
"65","NDAR_INV06BKAHN5","baseline_year_1_arm_1",96.748344,30
"66","NDAR_INV06DE9Y0L","baseline_year_1_arm_1",89.43925,21
"67","NDAR_INV06DJHEV0","baseline_year_1_arm_1",102.16487,40
"68","NDAR_INV06DP74KL","baseline_year_1_arm_1",101.65246,39
"69","NDAR_INV04YC4RXD","baseline_year_1_arm_1",108.01195,56
"70","NDAR_INV052HU3CU","baseline_year_1_arm_1",116.027504,86
"71","NDAR_INV056V9RRJ","baseline_year_1_arm_1",107.382576,54
"72","NDAR_INV059VLAHF","baseline_year_1_arm_1",89.96245,22
"73","NDAR_INV06DX0E7R","baseline_year_1_arm_1",97.52398,32
"74","NDAR_INV06LWXY67","baseline_year_1_arm_1",83.52302,16
"75","NDAR_INV07CMT243","baseline_year_1_arm_1",100.19502,36
"76","NDAR_INV07HGA3B7","baseline_year_1_arm_1",105.24636,48
"77","NDAR_INV07K2M5P4","baseline_year_1_arm_1",95.07257,28
"78","NDAR_INV07RAHHYH","baseline_year_1_arm_1",1.1157436,1
"79","NDAR_INV07RPB2TU","baseline_year_1_arm_1",84.51762,17
"80","NDAR_INV07THBLHG","baseline_year_1_arm_1",105.26839,48
"81","NDAR_INV07UK1DPH","baseline_year_1_arm_1",116.418526,87
"82","NDAR_INV07XG8391","baseline_year_1_arm_1",NA,NA
"83","NDAR_INV07XXFHDK","baseline_year_1_arm_1",96.60643,30
"84","NDAR_INV085CYDEZ","baseline_year_1_arm_1",105.06311,47
"85","NDAR_INV086114AT","baseline_year_1_arm_1",103.93986,44
"86","NDAR_INV06TBFD6R","baseline_year_1_arm_1",56.086987,5
"87","NDAR_INV06U4DYFY","baseline_year_1_arm_1",122.863174,100
"88","NDAR_INV07924XF1","baseline_year_1_arm_1",75.12834,10
"89","NDAR_INV07BR8GMY","baseline_year_1_arm_1",92.88434,25
"90","NDAR_INV08DNLREC","baseline_year_1_arm_1",91.30371,23
"91","NDAR_INV08EFDKZ6","baseline_year_1_arm_1",104.28111,45
"92","NDAR_INV08FUB58A","baseline_year_1_arm_1",123.04111,100
"93","NDAR_INV08GBDG8X","baseline_year_1_arm_1",79.054405,13
"94","NDAR_INV08J0E48V","baseline_year_1_arm_1",113.73425,77
"95","NDAR_INV08K0R9C4","baseline_year_1_arm_1",97.06795,31
"96","NDAR_INV08K8VF33","baseline_year_1_arm_1",124.53611,100
"97","NDAR_INV08P1JKNE","baseline_year_1_arm_1",101.18727,38
"98","NDAR_INV08P3GNDV","baseline_year_1_arm_1",111.11377,67
"99","NDAR_INV08R2PTT1","baseline_year_1_arm_1",76.14192,11
"100","NDAR_INV08UNGWZK","baseline_year_1_arm_1",97.65432,32
"101","NDAR_INV086U18RD","baseline_year_1_arm_1",92.88434,25
"102","NDAR_INV08894886","baseline_year_1_arm_1",106.292946,51
"103","NDAR_INV0889M0JE","baseline_year_1_arm_1",93.997185,26
"104","NDAR_INV08AT7TLH","baseline_year_1_arm_1",101.524475,39
"105","NDAR_INV08WDFUCE","baseline_year_1_arm_1",114.53362,80
"106","NDAR_INV097LUBWX","baseline_year_1_arm_1",76.547424,11
"107","NDAR_INV098DVK8B","baseline_year_1_arm_1",110.51753,65
"108","NDAR_INV09AEBLZH","baseline_year_1_arm_1",92.75039,25
"109","NDAR_INV09AKV10T","baseline_year_1_arm_1",114.405655,80
"110","NDAR_INV09AUXBBT","baseline_year_1_arm_1",94.2649,27
"111","NDAR_INV09N9CRAL","baseline_year_1_arm_1",101.73119,39
"112","NDAR_INV09T2EBX4","baseline_year_1_arm_1",109.82392,62
"113","NDAR_INV09VBPCLU","baseline_year_1_arm_1",87.187904,19
"114","NDAR_INV0A4P0LWM","baseline_year_1_arm_1",94.23492,27
"115","NDAR_INV0A4ZDYNL","baseline_year_1_arm_1",80.45381,14
"116","NDAR_INV0A6WVRZY","baseline_year_1_arm_1",111.61623,69
"117","NDAR_INV08YFFYY2","baseline_year_1_arm_1",120.086655,97
"118","NDAR_INV08YLBTNH","baseline_year_1_arm_1",94.3951,27
"119","NDAR_INV094UXV0J","baseline_year_1_arm_1",107.98751,56
"120","NDAR_INV095EVLDD","baseline_year_1_arm_1",113.88417,78
"121","NDAR_INV0AEBMADL","baseline_year_1_arm_1",112.321,72
"122","NDAR_INV0AF2TMR4","baseline_year_1_arm_1",63.771595,7
"123","NDAR_INV0AHJHA5D","baseline_year_1_arm_1",101.092575,38
"124","NDAR_INV0APJMRD1","baseline_year_1_arm_1",108.80803,59
"125","NDAR_INV0AUBJJJ4","baseline_year_1_arm_1",102.67571,41
"126","NDAR_INV0AYJMFMW","baseline_year_1_arm_1",94.17542,27
"127","NDAR_INV0AZFZ65C","baseline_year_1_arm_1",92.31837,24
"128","NDAR_INV0B0HVEYX","baseline_year_1_arm_1",65.50063,7
"129","NDAR_INV0B7UGM1D","baseline_year_1_arm_1",77.42238,12
"130","NDAR_INV0BAVEL0T","baseline_year_1_arm_1",91.682365,24
"131","NDAR_INV0BEHBEJ3","baseline_year_1_arm_1",89.48551,21
"132","NDAR_INV0A86UD86","baseline_year_1_arm_1",114.866776,82
"133","NDAR_INV0A87RKWD","baseline_year_1_arm_1",116.882545,89
"134","NDAR_INV0A9K5L4R","baseline_year_1_arm_1",87.603905,19
"135","NDAR_INV0AAKGYA2","baseline_year_1_arm_1",54.25929,5
"136","NDAR_INV0BEPJHU1","baseline_year_1_arm_1",NA,NA
"137","NDAR_INV0BG53R96","baseline_year_1_arm_1",108.58539,58
"138","NDAR_INV0C1ED337","baseline_year_1_arm_1",122.66163,100
"139","NDAR_INV0C471G23","baseline_year_1_arm_1",95.1837,28
"140","NDAR_INV0C765WK4","baseline_year_1_arm_1",96.58068,30
"141","NDAR_INV0C7TZ6YW","baseline_year_1_arm_1",104.96893,47
"142","NDAR_INV0CBFTKR7","baseline_year_1_arm_1",89.587906,21
"143","NDAR_INV0CBPKF6W","baseline_year_1_arm_1",95.26161,28
"144","NDAR_INV0CCEN5K2","baseline_year_1_arm_1",78.17585,12
"145","NDAR_INV0CCMBWPE","baseline_year_1_arm_1",110.83845,66
"146","NDAR_INV0CCVJ39W","baseline_year_1_arm_1",113.36658,76
"147","NDAR_INV0CF1U8X8","baseline_year_1_arm_1",101.65246,39
"148","NDAR_INV0BKE31EY","baseline_year_1_arm_1",57.21679,5
"149","NDAR_INV0BL9EL2Y","baseline_year_1_arm_1",122.19747,100
"150","NDAR_INV0BVP2PTD","baseline_year_1_arm_1",99.11039,34
"151","NDAR_INV0BXXNBH4","baseline_year_1_arm_1",98.777885,34
"152","NDAR_INV0CV2Y4YR","baseline_year_1_arm_1",48.280197,4
"153","NDAR_INV0CZBUV4C","baseline_year_1_arm_1",105.24636,48
"154","NDAR_INV0D0C239B","baseline_year_1_arm_1",92.81106,25
"155","NDAR_INV0D4C1R8X","baseline_year_1_arm_1",76.866684,11
"156","NDAR_INV0D5J9T8P","baseline_year_1_arm_1",118.297714,93
"157","NDAR_INV0D83M5VE","baseline_year_1_arm_1",75.27873,11
"158","NDAR_INV0DBRJXKG","baseline_year_1_arm_1",97.48414,32
"159","NDAR_INV0DC9BJZK","baseline_year_1_arm_1",72.183846,9
"160","NDAR_INV0DG8XR2P","baseline_year_1_arm_1",103.03057,42
"161","NDAR_INV0CKA3YZX","baseline_year_1_arm_1",110.0494,63
"162","NDAR_INV0CP9XGTP","baseline_year_1_arm_1",58.57814,5
"163","NDAR_INV0CRTHE21","baseline_year_1_arm_1",116.32128,87
"164","NDAR_INV0CTJAAHC","baseline_year_1_arm_1",95.62401,29
"165","NDAR_INV0DJJP33V","baseline_year_1_arm_1",95.00075,28
"166","NDAR_INV0DKWEM1A","baseline_year_1_arm_1",103.546074,43
"167","NDAR_INV0DYF4WPG","baseline_year_1_arm_1",17.561037,1
"168","NDAR_INV0E1RBR9J","baseline_year_1_arm_1",104.4479,46
"169","NDAR_INV0E350J5D","baseline_year_1_arm_1",81.9064,15
"170","NDAR_INV0E4CT74P","baseline_year_1_arm_1",102.6695,41
"171","NDAR_INV0E9UFT0K","baseline_year_1_arm_1",67.50365,8
"172","NDAR_INV0EV57VEX","baseline_year_1_arm_1",91.30371,23
"173","NDAR_INV0EVRF8BN","baseline_year_1_arm_1",72.49028,9
"174","NDAR_INV0EWGP0U5","baseline_year_1_arm_1",93.712395,26
"175","NDAR_INV0EXY6KFW","baseline_year_1_arm_1",109.53471,61
"176","NDAR_INV0F3UJ9CT","baseline_year_1_arm_1",112.27553,71
"177","NDAR_INV0DMRP60R","baseline_year_1_arm_1",88.6312,20
"178","NDAR_INV0DUXE0ZA","baseline_year_1_arm_1",102.38779,41
"179","NDAR_INV0DVK13LU","baseline_year_1_arm_1",115.3553,84
"180","NDAR_INV0DWBRWHT","baseline_year_1_arm_1",92.48324,25
"181","NDAR_INV0FAET6YA","baseline_year_1_arm_1",106.87683,53
"182","NDAR_INV0FBX6KWX","baseline_year_1_arm_1",93.92176,26
"183","NDAR_INV0FCEX8C6","baseline_year_1_arm_1",96.32092,30
"184","NDAR_INV0FM9MUTU","baseline_year_1_arm_1",98.60765,33
"185","NDAR_INV0FUC15ZB","baseline_year_1_arm_1",100.99419,38
"186","NDAR_INV0FV544H9","baseline_year_1_arm_1",115.54509,84
"187","NDAR_INV0FZ26GB1","baseline_year_1_arm_1",103.53277,43
"188","NDAR_INV0FZ2J7TT","baseline_year_1_arm_1",108.44669,58
"189","NDAR_INV0G2N59GL","baseline_year_1_arm_1",94.50894,27
"190","NDAR_INV0G37YGY1","baseline_year_1_arm_1",91.03502,23
"191","NDAR_INV0F4JDC6B","baseline_year_1_arm_1",103.26528,43
"192","NDAR_INV0F78WV5U","baseline_year_1_arm_1",35.38023,2
"193","NDAR_INV0F82C6R8","baseline_year_1_arm_1",95.66953,29
"194","NDAR_INV0F959U85","baseline_year_1_arm_1",88.35961,20
"195","NDAR_INV0G42TBW1","baseline_year_1_arm_1",95.337814,28
"196","NDAR_INV0G9MD8JA","baseline_year_1_arm_1",70.06123,8
"197","NDAR_INV0GVW93X6","baseline_year_1_arm_1",62.86417,6
"198","NDAR_INV0GWJ7GFF","baseline_year_1_arm_1",99.22421,35
"199","NDAR_INV0GZ334XA","baseline_year_1_arm_1",86.89471,19
"200","NDAR_INV0GZM9UZJ","baseline_year_1_arm_1",77.02411,11
"201","NDAR_INV0GZN1747","baseline_year_1_arm_1",104.02181,45
"202","NDAR_INV0H05G0TR","baseline_year_1_arm_1",103.882835,44
"203","NDAR_INV0H2AWWPU","baseline_year_1_arm_1",100.377464,37
"204","NDAR_INV0HALXUFY","baseline_year_1_arm_1",109.273834,61
"205","NDAR_INV0HB853U9","baseline_year_1_arm_1",96.10793,29
"206","NDAR_INV0GGJJ4H9","baseline_year_1_arm_1",113.88762,78
"207","NDAR_INV0GND16RW","baseline_year_1_arm_1",94.73099,27
"208","NDAR_INV0GPKYMDC","baseline_year_1_arm_1",78.343895,12
"209","NDAR_INV0GUTM6AM","baseline_year_1_arm_1",107.26823,54
"210","NDAR_INV0HVEVD01","baseline_year_1_arm_1",106.70629,52
"211","NDAR_INV0HXXANFJ","baseline_year_1_arm_1",108.3885,58
"212","NDAR_INV0J1M2ETU","baseline_year_1_arm_1",86.75431,18
"213","NDAR_INV0J2UAG61","baseline_year_1_arm_1",100.90157,38
"214","NDAR_INV0J6LY05U","baseline_year_1_arm_1",101.40328,39
"215","NDAR_INV0J6UAD2Y","baseline_year_1_arm_1",78.01433,12
"216","NDAR_INV0J9U5XRJ","baseline_year_1_arm_1",94.92934,28
"217","NDAR_INV0JAG7BGC","baseline_year_1_arm_1",121.86279,99
"218","NDAR_INV0JCWR24P","baseline_year_1_arm_1",105.54155,49
"219","NDAR_INV0JGVD4F3","baseline_year_1_arm_1",91.938034,24
"220","NDAR_INV0JR6Y529","baseline_year_1_arm_1",108.564125,58
"221","NDAR_INV0HFHMCFZ","baseline_year_1_arm_1",120.18957,97
"222","NDAR_INV0HH094Z9","baseline_year_1_arm_1",89.97392,22
"223","NDAR_INV0HJGCR32","baseline_year_1_arm_1",108.51819,58
"224","NDAR_INV0HL5D3DF","baseline_year_1_arm_1",114.66528,81
"225","NDAR_INV0JRNB4U4","baseline_year_1_arm_1",117.380135,91
"226","NDAR_INV0JRU5DWA","baseline_year_1_arm_1",113.31569,75
"227","NDAR_INV0K01TWJD","baseline_year_1_arm_1",98.75485,34
"228","NDAR_INV0K1RBPXM","baseline_year_1_arm_1",52.749443,4
"229","NDAR_INV0K37T6VD","baseline_year_1_arm_1",79.01689,13
"230","NDAR_INV0KHYZ082","baseline_year_1_arm_1",110.748024,66
"231","NDAR_INV0KPZW3NB","baseline_year_1_arm_1",95.406624,29
"232","NDAR_INV0KTEM27A","baseline_year_1_arm_1",54.518166,5
"233","NDAR_INV0KYBPJ2A","baseline_year_1_arm_1",95.97176,29
"234","NDAR_INV0KYKANZ6","baseline_year_1_arm_1",118.89442,95
"235","NDAR_INV0KZBEH7F","baseline_year_1_arm_1",76.71789,11
"236","NDAR_INV0L1GB53L","baseline_year_1_arm_1",110.970535,67
"237","NDAR_INV0JVUB582","baseline_year_1_arm_1",121.95264,99
"238","NDAR_INV0JVY70JV","baseline_year_1_arm_1",103.93986,44
"239","NDAR_INV0JW2EU4V","baseline_year_1_arm_1",123.12881,100
"240","NDAR_INV0JWEE23L","baseline_year_1_arm_1",51.516785,4
"241","NDAR_INV0JWTGKAD","baseline_year_1_arm_1",108.25945,57
"242","NDAR_INV0JXBZBV9","baseline_year_1_arm_1",101.919914,40
"243","NDAR_INV0JYWL5T8","baseline_year_1_arm_1",123.44947,100
"244","NDAR_INV112R12P1","baseline_year_1_arm_1",42.73803,3
"245","NDAR_INV1147ELD2","baseline_year_1_arm_1",118.350365,93
"246","NDAR_INV0RKF6F11","baseline_year_1_arm_1",106.32859,51
"247","NDAR_INV0RL1BGTN","baseline_year_1_arm_1",112.110756,71
"248","NDAR_INV0VL8XV09","baseline_year_1_arm_1",113.48047,76
"249","NDAR_INV0VVG7LYB","baseline_year_1_arm_1",91.84695,24
"250","NDAR_INV0YDL0DWV","baseline_year_1_arm_1",95.337814,28
"251","NDAR_INV0YE7L9KU","baseline_year_1_arm_1",95.65419,29
"252","NDAR_INV114VT9DX","baseline_year_1_arm_1",113.09397,75
"253","NDAR_INV1164KR5T","baseline_year_1_arm_1",112.74865,73
"254","NDAR_INV0T41MTFH","baseline_year_1_arm_1",108.496506,58
"255","NDAR_INV0T5DCF9K","baseline_year_1_arm_1",88.319466,20
"256","NDAR_INV0VY70352","baseline_year_1_arm_1",71.480934,9
"257","NDAR_INV0W00RU2X","baseline_year_1_arm_1",98.60765,33
"258","NDAR_INV0YGRZTUF","baseline_year_1_arm_1",111.90775,70
"259","NDAR_INV0YLE20YZ","baseline_year_1_arm_1",3.0048404,1
"260","NDAR_INV119ECA10","baseline_year_1_arm_1",48.258354,4
"261","NDAR_INV11E1FCZ0","baseline_year_1_arm_1",87.16833,19
"262","NDAR_INV0T7889MV","baseline_year_1_arm_1",105.18277,48
"263","NDAR_INV0TEH16CM","baseline_year_1_arm_1",122.10496,99
"264","NDAR_INV0W0932W4","baseline_year_1_arm_1",111.36407,68
"265","NDAR_INV0W4PR2WT","baseline_year_1_arm_1",93.62341,26
"266","NDAR_INV0YLJKU2J","baseline_year_1_arm_1",90.5237,22
"267","NDAR_INV0YLLNXRL","baseline_year_1_arm_1",112.26485,71
"268","NDAR_INV11G4DZFX","baseline_year_1_arm_1",77.81941,12
"269","NDAR_INV11HZFWRM","baseline_year_1_arm_1",46.533543,3
"270","NDAR_INV0TJZ2RA3","baseline_year_1_arm_1",106.24966,51
"271","NDAR_INV0TRD5ZK4","baseline_year_1_arm_1",104.3739,45
"272","NDAR_INV0W4WA8RV","baseline_year_1_arm_1",110.57037,65
"273","NDAR_INV0WAF57A4","baseline_year_1_arm_1",93.054214,25
"274","NDAR_INV0YMH4BW6","baseline_year_1_arm_1",15.633145,1
"275","NDAR_INV0YVKYMJX","baseline_year_1_arm_1",95.20688,28
"276","NDAR_INV0YWBYAGP","baseline_year_1_arm_1",50.097008,4
"277","NDAR_INV1285PMCK","baseline_year_1_arm_1",89.401184,21
"278","NDAR_INV0TTJA443","baseline_year_1_arm_1",95.02519,28
"279","NDAR_INV0U0ZAG3B","baseline_year_1_arm_1",97.77742,32
"280","NDAR_INV0U1JRFPK","baseline_year_1_arm_1",77.25316,12
"281","NDAR_INV0WC5U4JA","baseline_year_1_arm_1",111.25155,68
"282","NDAR_INV0WELU60J","baseline_year_1_arm_1",91.557175,23
"283","NDAR_INV0Z5FF0JL","baseline_year_1_arm_1",14.87503,1
"284","NDAR_INV0ZAYELPK","baseline_year_1_arm_1",102.5074,41
"285","NDAR_INV1306ZGW1","baseline_year_1_arm_1",110.8409,66
"286","NDAR_INV0U23M45G","baseline_year_1_arm_1",73.25717,10
"287","NDAR_INV0U317B9P","baseline_year_1_arm_1",95.10256,28
"288","NDAR_INV0WHFCZKU","baseline_year_1_arm_1",NA,NA
"289","NDAR_INV0WTM31V7","baseline_year_1_arm_1",95.97176,29
"290","NDAR_INV0WXLR6V1","baseline_year_1_arm_1",115.3466,83
"291","NDAR_INV0ZHHWCMZ","baseline_year_1_arm_1",106.01921,50
"292","NDAR_INV0ZPPK2ML","baseline_year_1_arm_1",106.44921,51
"293","NDAR_INV11THDW9B","baseline_year_1_arm_1",96.07873,29
"294","NDAR_INV11UF2ABG","baseline_year_1_arm_1",94.27392,27
"295","NDAR_INV0U8DTCDG","baseline_year_1_arm_1",94.54051,27
"296","NDAR_INV0UA196B6","baseline_year_1_arm_1",84.47778,17
"297","NDAR_INV0WYCV590","baseline_year_1_arm_1",106.973076,53
"298","NDAR_INV0X02CUCY","baseline_year_1_arm_1",110.86934,66
"299","NDAR_INV0ZTJ2432","baseline_year_1_arm_1",117.01808,89
"300","NDAR_INV101HGWPC","baseline_year_1_arm_1",113.33219,75
"301","NDAR_INV12F1NWCG","baseline_year_1_arm_1",120.2628,97
"302","NDAR_INV12NED96V","baseline_year_1_arm_1",96.767715,30
"303","NDAR_INV12WR8W3U","baseline_year_1_arm_1",88.47922,20
"304","NDAR_INV0UA1UW6C","baseline_year_1_arm_1",85.6235,18
"305","NDAR_INV0UD3BJFR","baseline_year_1_arm_1",98.180626,33
"306","NDAR_INV0X38WL5R","baseline_year_1_arm_1",113.48578,76
"307","NDAR_INV0X45NBYM","baseline_year_1_arm_1",103.93986,44
"308","NDAR_INV102P9DCN","baseline_year_1_arm_1",95.1837,28
"309","NDAR_INV107UCJ69","baseline_year_1_arm_1",91.426125,23
"310","NDAR_INV13276WYW","baseline_year_1_arm_1",97.19382,31
"311","NDAR_INV1378XGLA","baseline_year_1_arm_1",112.210045,71
"312","NDAR_INV0UEA3Z9E","baseline_year_1_arm_1",107.52983,55
"313","NDAR_INV0UERLJJY","baseline_year_1_arm_1",118.44234,94
"314","NDAR_INV0UL9YFZJ","baseline_year_1_arm_1",118.89442,95
"315","NDAR_INV0X4A2LKW","baseline_year_1_arm_1",105.63228,49
"316","NDAR_INV0X59EG8X","baseline_year_1_arm_1",115.87678,86
"317","NDAR_INV109GUWFN","baseline_year_1_arm_1",16.853132,1
"318","NDAR_INV10DN9UHY","baseline_year_1_arm_1",111.29252,68
"319","NDAR_INV11V7NWED","baseline_year_1_arm_1",113.88762,78
"320","NDAR_INV11ZVVFHK","baseline_year_1_arm_1",113.469635,76
"321","NDAR_INV0ULZKXXG","baseline_year_1_arm_1",80.45381,14
"322","NDAR_INV0XDBADBW","baseline_year_1_arm_1",108.57806,58
"323","NDAR_INV0XFVW4LF","baseline_year_1_arm_1",87.03869,19
"324","NDAR_INV10EP1VM2","baseline_year_1_arm_1",55.243996,5
"325","NDAR_INV10F7NTCV","baseline_year_1_arm_1",99.81011,36
"326","NDAR_INV0PKCP1P3","baseline_year_1_arm_1",93.70901,26
"327","NDAR_INV0PLKFP06","baseline_year_1_arm_1",97.75946,32
"328","NDAR_INV0UMM15GY","baseline_year_1_arm_1",79.69827,13
"329","NDAR_INV0UPRUMA1","baseline_year_1_arm_1",NA,NA
"330","NDAR_INV0XH07MZ8","baseline_year_1_arm_1",103.72642,44
"331","NDAR_INV0XKVPBB0","baseline_year_1_arm_1",80.99855,14
"332","NDAR_INV10FDVE0L","baseline_year_1_arm_1",92.05646,24
"333","NDAR_INV10HWA6YU","baseline_year_1_arm_1",85.6235,18
"334","NDAR_INV0PR0WY8F","baseline_year_1_arm_1",78.2617,12
"335","NDAR_INV0PRHUTZA","baseline_year_1_arm_1",80.96024,14
"336","NDAR_INV0UPVEC1J","baseline_year_1_arm_1",56.426212,5
"337","NDAR_INV0UV5WZUN","baseline_year_1_arm_1",113.46463,76
"338","NDAR_INV0XM20K74","baseline_year_1_arm_1",94.2649,27
"339","NDAR_INV0XTAYD1B","baseline_year_1_arm_1",114.932976,82
"340","NDAR_INV0XTVAGV2","baseline_year_1_arm_1",118.32866,93
"341","NDAR_INV10J5M8LB","baseline_year_1_arm_1",99.72929,35
"342","NDAR_INV10K9CVX2","baseline_year_1_arm_1",107.89651,56
"343","NDAR_INV10KHJFTG","baseline_year_1_arm_1",94.73057,27
"344","NDAR_INV0PU19T4K","baseline_year_1_arm_1",76.00853,11
"345","NDAR_INV0PW5A9P1","baseline_year_1_arm_1",99.051285,34
"346","NDAR_INV0UWD26VV","baseline_year_1_arm_1",115.24156,83
"347","NDAR_INV0UYDV4HJ","baseline_year_1_arm_1",94.07706,27
"348","NDAR_INV0XU7Z6RH","baseline_year_1_arm_1",120.74771,98
"349","NDAR_INV0XVGNCYR","baseline_year_1_arm_1",31.820698,2
"350","NDAR_INV10KWCWVG","baseline_year_1_arm_1",83.477005,16
"351","NDAR_INV10KXDDBK","baseline_year_1_arm_1",104.3739,45
"352","NDAR_INV10MWD99M","baseline_year_1_arm_1",102.95861,42
"353","NDAR_INV0R5220TJ","baseline_year_1_arm_1",82.68588,15
"354","NDAR_INV0R696YJR","baseline_year_1_arm_1",27.273357,2
"355","NDAR_INV0RA4PBPV","baseline_year_1_arm_1",77.30683,12
"356","NDAR_INV0V139J8T","baseline_year_1_arm_1",68.992256,8
"357","NDAR_INV0V1TYBKE","baseline_year_1_arm_1",103.72432,44
"358","NDAR_INV0Y2153YG","baseline_year_1_arm_1",65.49751,7
"359","NDAR_INV0Y712XLV","baseline_year_1_arm_1",97.16465,31
"360","NDAR_INV10RNF3BK","baseline_year_1_arm_1",117.5357,91
"361","NDAR_INV10T1UELH","baseline_year_1_arm_1",80.6235,14
"362","NDAR_INV0RB5CTN0","baseline_year_1_arm_1",88.47922,20
"363","NDAR_INV0RG4KBRB","baseline_year_1_arm_1",104.924355,47
"364","NDAR_INV0V80916L","baseline_year_1_arm_1",95.089745,28
"365","NDAR_INV0V9W14U5","baseline_year_1_arm_1",112.80928,73
